Date,Ticker,Open,High,Low,Close,Volume
2023-01-03,AAPL,128.34378035287284,128.95456111650307,122.3245864348614,123.21121215820312,112117500
2023-01-03,JPM,125.03966202033209,126.42652600592973,123.79147879013018,124.92870330810547,11054800
2023-01-04,AAPL,125.00417001301611,126.74786861860159,123.22107249842935,124.48204803466797,89113600
2023-01-04,JPM,125.73308203906105,127.29560346338475,125.3447618530242,126.09366607666016,11687600
2023-01-05,AAPL,125.24058317585433,125.87107085400619,122.90581107632524,123.16194152832031,80962700
2023-01-05,JPM,126.35444534172031,126.40101844875035,124.52888471580748,126.06571197509766,8381300
2023-01-06,AAPL,124.13723942127505,128.35362127262974,123.03388217385093,127.6935806274414,87754700
2023-01-06,JPM,126.79223148923117,128.88789380185912,125.26472708317824,128.4780731201172,10029100
2023-01-09,AAPL,128.53093430540028,131.4272419402479,127.95955255827974,128.21568298339844,70790800
2023-01-09,JPM,129.09281311552445,129.3536055289198,127.49079445488407,127.94717407226562,8482300
2023-01-10,AAPL,128.32407802637962,129.30921608440133,126.21588318349379,128.78709411621094,63896200
2023-01-10,JPM,128.33833841583532,129.20455279171128,127.89126782202855,129.09278869628906,9048700
2023-01-11,AAPL,129.29937353694692,131.52578019546752,128.5211210646013,131.50608825683594,69458900
2023-01-11,JPM,129.37221829314208,130.16391865316137,128.6271052626769,130.05215454101562,8703700
2023-01-12,AAPL,131.89029271765745,132.26463497127472,129.4865533653131,131.42727661132812,71379600
2023-01-12,JPM,130.39676459864813,131.1977738639532,129.67026947571094,129.9217529296875,11001700
2023-01-13,AAPL,130.0677644513709,132.914812571895,129.70326821418658,132.75718688964844,57809700
2023-01-13,JPM,126.298583355672,133.6473717091843,125.5534561612079,133.20028686523438,20200000
2023-01-17,AAPL,132.82614355724837,135.24957434953774,132.1365500404185,133.91964721679688,63646600
2023-01-17,JPM,131.4864916525837,131.83110708446426,129.67956299829072,131.14187622070312,14292900
2023-01-18,AAPL,134.78655764920913,136.54994765313825,133.0231526132705,133.2004852294922,69672800
2023-01-18,JPM,129.39082801643528,131.0766694064514,127.05300573140156,127.20203399658203,13392600
2023-01-19,AAPL,132.08729648616435,134.22504400705918,131.78190613060963,133.25961303710938,58280400
2023-01-19,JPM,126.03779729254241,126.57799996820785,124.42645556769111,125.50688934326172,13303400
2023-01-20,AAPL,133.26944989272516,135.96873306889344,132.22520615532028,135.82095336914062,80223600
2023-01-20,JPM,125.88877653899345,126.19614207348218,124.38921304703854,125.81426239013672,13092500
2023-01-23,AAPL,136.06726442233395,141.18999437445396,135.85053284595898,139.01283264160156,81760300
2023-01-23,JPM,125.85150411134802,128.4967064799969,125.57209383659618,127.85403442382812,10487100
2023-01-24,AAPL,138.22470516633354,141.03235437334166,138.21485919822922,140.41171264648438,66435100
2023-01-24,JPM,127.06231229849965,130.66684634610152,125.73971844695612,128.95306396484375,6945000
2023-01-25,AAPL,138.7960933961296,140.31319931491353,136.74700453490559,139.75167846679688,65799300
2023-01-25,JPM,128.58053664889107,129.57713317871094,127.8354093802071,129.57713317871094,8967000
2023-01-26,AAPL,141.04221286895242,142.10616376720364,139.79108333600698,141.8204803466797,54105100
2023-01-26,JPM,129.85654328513786,130.45264219157764,128.86925580373315,130.3781280517578,7487600
2023-01-27,AAPL,141.03237815686282,145.04188252528883,140.95356530270018,143.76119995117188,70555800
2023-01-27,JPM,130.96491026520977,131.57031807373335,130.16390107472674,130.69480895996094,7489900
2023-01-30,AAPL,142.80561778514152,143.38684562469143,140.72697590646771,140.87474060058594,64015300
2023-01-30,JPM,129.67960359457138,130.48061301541287,129.38156117934687,129.5864715576172,6729300
